,l,vargg,var_ig,cov
,369,2.859573437975168e-07,3.196941837410557e-15,3.228216334482869e-15
,370,2.8873265847588346e-07,2.9501422900569532e-15,7.910256132330671e-15
,371,2.734750735239333e-07,2.8002558823678814e-15,-1.4816001732105022e-15
,372,2.916526715714897e-07,3.1331468136604596e-15,-9.326797819019139e-15
,373,2.635278655070315e-07,2.7452481677839857e-15,1.2217307216501745e-14
,374,2.791896548122413e-07,3.0380486861077678e-15,1.7834581710570866e-14
,375,2.751578444532281e-07,2.8457709479160645e-15,-4.781444018595356e-15
,376,2.760578104204809e-07,3.1275353012302345e-15,3.269675707985715e-14
,377,2.9157245631010784e-07,3.27463378384809e-15,-2.0723414966448067e-14
,378,2.9025138282961274e-07,2.8862869855068407e-15,2.962098860179942e-14
,379,2.656258928255375e-07,2.6536969911541692e-15,2.6822399985257183e-15
,380,2.851479888367349e-07,2.74261586935778e-15,-1.2315236593528735e-14
,381,2.8162591866289797e-07,3.065487968189224e-15,1.8358152839668377e-14
,382,2.67295107174159e-07,2.61513791753179e-15,-1.0117485549713147e-14
,383,2.687672799492595e-07,2.8589405746036216e-15,2.2491812745012412e-14
,384,2.7874819528315453e-07,2.9556153068808307e-15,2.744970506113488e-15
,385,2.7807993714747574e-07,2.9009917175011868e-15,2.6460222470792452e-15
,386,2.66950535028471e-07,2.8138470049536157e-15,1.7254021473660705e-14
,387,2.892830182552243e-07,2.923132613851189e-15,1.9562281757605132e-14
,388,2.7664050109618936e-07,2.6486946291236824e-15,2.290078996772825e-14
,389,3.014565608232351e-07,3.1333338567717773e-15,2.913574961424764e-14
,390,2.900364098388742e-07,2.927507548986007e-15,1.8292138754023713e-14
,391,2.786131587449137e-07,2.782552003119072e-15,2.1300814399856462e-14
,392,2.9842371849435514e-07,3.2922502527284393e-15,1.3269891537856164e-14
,393,2.9857318294749276e-07,2.9050363691509153e-15,-1.4464403444437066e-15
,394,2.801701181459331e-07,3.0258072835734384e-15,2.391703163553437e-14
,395,2.789514671782707e-07,2.7843767819413148e-15,5.119077844903088e-17
,396,2.753940043487422e-07,2.8696765084358497e-15,1.1539822199334299e-14
,397,2.674440745369256e-07,2.478239519497212e-15,5.929475675972998e-15
,398,2.5126216091781387e-07,2.4334352421461557e-15,-3.248034873663438e-15
,399,2.688360504953816e-07,2.5848268174584156e-15,7.330082538049563e-15
,400,2.5005285120132365e-07,2.3135005138069837e-15,9.274795489178394e-17
,401,2.387050047549984e-07,2.051677882284228e-15,-2.119371501118574e-15
,402,2.767105261970227e-07,2.578425282065944e-15,-3.643903169669659e-15
,403,2.4498141281880526e-07,2.354273536320656e-15,-1.3682908503137256e-14
,404,2.41965124248591e-07,2.2618503977051005e-15,1.0445322671330291e-14
,405,2.391447908896834e-07,2.078492038668829e-15,5.755362514746476e-15
,406,2.400249957409251e-07,2.3668142811029596e-15,1.4346992535022266e-15
,407,2.2427826325519945e-07,2.098035233271098e-15,-3.9726181083473914e-15
,408,2.4599217964425576e-07,2.265587512057481e-15,-5.577106631610575e-15
,409,2.478195263633134e-07,2.0894127145300666e-15,9.073925889097375e-15
,410,2.392823190102725e-07,2.4106614153472906e-15,2.5341667398373808e-15
,411,2.442831299377604e-07,2.2365803183612867e-15,9.376607858240493e-15
,412,2.2324373627228454e-07,2.1912092354130055e-15,1.6208522512313124e-14
,413,2.2032931289423146e-07,2.3338197597632204e-15,-1.1867131260996797e-15
,414,2.2475804044925785e-07,2.148975010627513e-15,6.523299389627408e-16
,415,2.1538124623436198e-07,1.9741645266645495e-15,-2.509249290700107e-15
,416,2.2208535380546642e-07,2.1474764127730605e-15,1.6085589361154384e-14
