L,cov1,cov2
356,[1.25515580e-07 5.47959143e-16],[5.47959143e-16 5.57699163e-16]
357,[ 1.22944551e-07 -9.88126775e-17],[-9.88126775e-17  5.38656161e-16]
358,[1.25071766e-07 5.36524438e-15],[5.36524438e-15 5.73656396e-16]
359,[1.21401543e-07 7.05919570e-16],[7.05919570e-16 5.21542313e-16]
360,[1.19321664e-07 1.80589871e-15],[1.80589871e-15 4.79247246e-16]
361,[1.17178840e-07 2.46048663e-15],[2.46048663e-15 4.87995689e-16]
362,[1.09930408e-07 2.57526426e-15],[2.57526426e-15 4.58000656e-16]
363,[1.15037617e-07 2.44110856e-15],[2.44110856e-15 4.71302144e-16]
364,[1.33874173e-07 2.51647840e-16],[2.51647840e-16 6.07618874e-16]
365,[ 1.17829906e-07 -5.62612564e-18],[-5.62612564e-18  4.90138006e-16]
366,[ 1.28303066e-07 -1.67783191e-16],[-1.67783191e-16  5.46063355e-16]
367,[1.21716139e-07 1.50317323e-15],[1.50317323e-15 5.17258897e-16]
368,[ 1.23730565e-07 -1.93258140e-15],[-1.93258140e-15  5.45483554e-16]
369,[1.14374495e-07 1.72037603e-15],[1.72037603e-15 4.54612321e-16]
370,[1.18236235e-07 4.91947975e-15],[4.91947975e-15 5.17167726e-16]
371,[ 1.18995753e-07 -3.14168921e-15],[-3.14168921e-15  4.57825336e-16]
372,[1.19372516e-07 2.52548476e-15],[2.52548476e-15 4.89552058e-16]
373,[1.30298471e-07 4.81333273e-15],[4.81333273e-15 5.28455611e-16]
374,[1.22655631e-07 2.95878915e-15],[2.95878915e-15 5.35826113e-16]
375,[1.22393954e-07 2.13074166e-15],[2.13074166e-15 5.06751591e-16]
376,[1.26018171e-07 9.85635758e-16],[9.85635758e-16 5.20957086e-16]
377,[1.18522115e-07 2.81219175e-15],[2.81219175e-15 5.08229074e-16]
378,[1.13585516e-07 1.29459877e-15],[1.29459877e-15 4.35614164e-16]
379,[ 1.18359777e-07 -8.19301738e-16],[-8.19301738e-16  5.08724501e-16]
380,[ 1.23079526e-07 -7.71294925e-16],[-7.71294925e-16  4.93764179e-16]
381,[1.19793539e-07 4.23036936e-15],[4.23036936e-15 5.00314992e-16]
382,[ 1.22974364e-07 -3.47098587e-15],[-3.47098587e-15  5.03190309e-16]
383,[1.26098285e-07 5.22888494e-15],[5.22888494e-15 5.20043657e-16]
384,[1.18759358e-07 1.09964098e-15],[1.09964098e-15 5.09078904e-16]
385,[1.16765336e-07 3.09405901e-15],[3.09405901e-15 4.69325921e-16]
386,[1.17976568e-07 5.62627199e-15],[5.62627199e-15 5.05287468e-16]
387,[ 1.21729794e-07 -1.31982705e-17],[-1.31982705e-17  5.10145374e-16]
388,[1.17682772e-07 5.91428077e-15],[5.91428077e-15 4.91586203e-16]
389,[ 1.20320501e-07 -2.01624705e-15],[-2.01624705e-15  4.64790245e-16]
390,[1.11893178e-07 5.09138359e-16],[5.09138359e-16 4.84187167e-16]
391,[1.19402372e-07 1.69198361e-15],[1.69198361e-15 4.72937452e-16]
392,[1.17027035e-07 3.62709709e-15],[3.62709709e-15 4.78031898e-16]
393,[ 1.18185403e-07 -3.46047078e-16],[-3.46047078e-16  4.49438750e-16]
394,[ 1.25528462e-07 -2.19158777e-15],[-2.19158777e-15  5.16655381e-16]
395,[1.13507012e-07 6.79009189e-16],[6.79009189e-16 4.74200872e-16]
396,[ 1.11513246e-07 -1.29633737e-15],[-1.29633737e-15  4.56957154e-16]
397,[1.07796001e-07 1.99411373e-15],[1.99411373e-15 4.25653583e-16]
398,[ 1.14350947e-07 -1.81506523e-15],[-1.81506523e-15  4.50340970e-16]
399,[1.05233326e-07 9.43127225e-16],[9.43127225e-16 4.21645042e-16]
400,[1.10123247e-07 1.25375072e-15],[1.25375072e-15 4.00492851e-16]
401,[1.07542870e-07 5.60362417e-15],[5.60362417e-15 4.41651333e-16]
402,[1.13946882e-07 2.57870207e-15],[2.57870207e-15 4.39144819e-16]
403,[1.11632323e-07 5.21219972e-15],[5.21219972e-15 4.60881563e-16]
404,[1.13808656e-07 9.97112981e-16],[9.97112981e-16 4.36363628e-16]
405,[1.12570823e-07 3.07225983e-15],[3.07225983e-15 4.36273495e-16]
406,[ 1.1868676e-07 -8.5681115e-17],[-8.5681115e-17  4.5982879e-16]
407,[1.14708434e-07 1.43649523e-15],[1.43649523e-15 4.20379643e-16]
408,[1.13087167e-07 5.20168636e-16],[5.20168636e-16 4.10553840e-16]
409,[1.15917360e-07 4.37398299e-16],[4.37398299e-16 4.38035361e-16]
410,[1.10763036e-07 3.14595221e-16],[3.14595221e-16 3.89043839e-16]
411,[1.20265417e-07 9.27001128e-16],[9.27001128e-16 4.82532799e-16]
412,[ 1.12809985e-07 -3.49123807e-16],[-3.49123807e-16  3.93655511e-16]
413,[1.04650143e-07 8.09459116e-16],[8.09459116e-16 4.19348252e-16]
414,[1.10856043e-07 6.46331918e-16],[6.46331918e-16 4.10131266e-16]
415,[ 1.04513767e-07 -3.26887243e-16],[-3.26887243e-16  4.02190560e-16]
416,[ 1.09891973e-07 -1.25671114e-15],[-1.25671114e-15  4.01316176e-16]
417,[1.14386979e-07 2.07137232e-16],[2.07137232e-16 4.28109268e-16]
418,[ 1.09210882e-07 -2.07306174e-15],[-2.07306174e-15  4.00855743e-16]
419,[1.11634841e-07 3.00682665e-16],[3.00682665e-16 3.96679922e-16]
420,[1.06722731e-07 9.05419822e-16],[9.05419822e-16 3.85173284e-16]
421,[9.94788384e-08 3.54474048e-16],[3.54474048e-16 3.65755125e-16]
422,[1.07640354e-07 7.99459612e-16],[7.99459612e-16 4.54540667e-16]
423,[1.11362004e-07 4.39069500e-15],[4.39069500e-15 4.01446732e-16]
424,[1.06977741e-07 4.30928640e-15],[4.30928640e-15 4.09173172e-16]
425,[1.06281904e-07 3.61288119e-15],[3.61288119e-15 3.61431755e-16]
426,[1.09505784e-07 1.88365893e-15],[1.88365893e-15 4.03110657e-16]
427,[1.11601592e-07 2.35011835e-15],[2.35011835e-15 3.86765656e-16]
428,[9.82401346e-08 1.42896776e-15],[1.42896776e-15 3.73464491e-16]
429,[ 1.07669453e-07 -5.44427183e-16],[-5.44427183e-16  3.85299809e-16]
430,[1.04960477e-07 1.58717067e-15],[1.58717067e-15 3.90256190e-16]
431,[1.03192762e-07 1.41166629e-15],[1.41166629e-15 3.74542724e-16]
432,[1.07612249e-07 2.75909704e-15],[2.75909704e-15 3.89009090e-16]
433,[1.01262280e-07 2.41053475e-16],[2.41053475e-16 3.54103840e-16]
434,[1.07294954e-07 1.98263568e-15],[1.98263568e-15 3.46020892e-16]
435,[1.14497465e-07 5.34987948e-16],[5.34987948e-16 3.90431609e-16]
436,[1.05080290e-07 8.95601569e-16],[8.95601569e-16 3.52427807e-16]
437,[ 1.08858407e-07 -2.43125770e-16],[-2.4312577e-16  3.6799949e-16]
438,[1.10408767e-07 3.55942697e-15],[3.55942697e-15 3.76617917e-16]
439,[ 1.08898671e-07 -5.53059962e-17],[-5.53059962e-17  3.73334128e-16]
440,[1.07891859e-07 5.28724366e-16],[5.28724366e-16 3.95323910e-16]
441,[ 1.10563104e-07 -2.13366042e-16],[-2.13366042e-16  3.63461123e-16]
442,[ 1.12772919e-07 -2.70133958e-16],[-2.70133958e-16  3.78918594e-16]
443,[ 1.15803714e-07 -1.76785605e-15],[-1.76785605e-15  4.04209582e-16]
444,[1.09567046e-07 3.05270157e-15],[3.05270157e-15 3.88100131e-16]
445,[1.10197413e-07 1.42081758e-15],[1.42081758e-15 3.95232738e-16]
446,[1.08576052e-07 1.65220778e-15],[1.65220778e-15 3.78082231e-16]
447,[1.07144067e-07 2.20820799e-15],[2.20820799e-15 3.70283268e-16]
448,[1.09697527e-07 5.72587639e-16],[5.72587639e-16 3.76156345e-16]
449,[1.15556228e-07 1.11534125e-15],[1.11534125e-15 4.05532575e-16]
450,[1.09029011e-07 4.00780645e-16],[4.00780645e-16 3.80328978e-16]
451,[ 9.47320294e-08 -4.81792296e-16],[-4.81792296e-16  3.37436902e-16]
452,[9.94250354e-08 9.91697080e-17],[9.91697080e-17 3.24426182e-16]
453,[ 1.03240832e-07 -1.44701654e-15],[-1.44701654e-15  3.74409998e-16]
454,[ 1.01155595e-07 -1.33344970e-15],[-1.33344970e-15  3.55008346e-16]
455,[1.10080203e-07 4.42996700e-16],[4.42996700e-16 3.90879542e-16]
456,[1.09964784e-07 1.72874118e-15],[1.72874118e-15 3.64242333e-16]
457,[1.07616491e-07 5.21790251e-16],[5.21790251e-16 3.58781769e-16]
458,[1.08044625e-07 5.46795003e-15],[5.46795003e-15 3.69860340e-16]
459,[1.05945191e-07 1.92711832e-15],[1.92711832e-15 3.61186720e-16]
460,[1.05471984e-07 1.27446377e-15],[1.27446377e-15 3.07379375e-16]
461,[1.01743986e-07 5.69645250e-16],[5.69645250e-16 3.47271311e-16]
462,[9.82123794e-08 1.10361892e-15],[1.10361892e-15 3.27462433e-16]
463,[9.97173049e-08 2.39963640e-15],[2.39963640e-15 3.16537477e-16]
464,[ 9.11778836e-08 -6.03995080e-16],[-6.03995080e-16  2.92050451e-16]
465,[9.94389868e-08 1.71935463e-15],[1.71935463e-15 3.31385751e-16]
466,[ 9.74335895e-08 -1.97672007e-16],[-1.97672007e-16  3.17584489e-16]
467,[9.98344076e-08 2.19812728e-15],[2.19812728e-15 3.21034732e-16]
468,[1.08266265e-07 5.67371916e-16],[5.67371916e-16 3.19508710e-16]
469,[ 1.03101112e-07 -3.22744018e-15],[-3.22744018e-15  3.25491016e-16]
470,[9.83491266e-08 2.43466195e-15],[2.43466195e-15 3.35075819e-16]
471,[ 9.67296771e-08 -1.92348676e-15],[-1.92348676e-15  3.06904313e-16]
472,[9.56806050e-08 2.33718022e-15],[2.33718022e-15 3.28197269e-16]
473,[9.52469531e-08 9.22432646e-16],[9.22432646e-16 2.99054500e-16]
474,[9.88842202e-08 3.40521326e-15],[3.40521326e-15 3.43725040e-16]
475,[1.04250433e-07 2.98190416e-15],[2.98190416e-15 3.48616457e-16]
476,[9.84652239e-08 1.16087447e-16],[1.16087447e-16 3.08083838e-16]
477,[1.05218537e-07 1.23627200e-15],[1.23627200e-15 3.40213137e-16]
478,[9.62197264e-08 3.08678286e-15],[3.08678286e-15 3.15119141e-16]
479,[1.01008572e-07 1.33725179e-15],[1.33725179e-15 3.19247806e-16]
480,[1.01034631e-07 3.92982087e-15],[3.92982087e-15 3.61478818e-16]
481,[ 1.06228369e-07 -4.29583285e-17],[-4.29583285e-17  3.34300814e-16]
482,[1.01409025e-07 2.41568868e-15],[2.41568868e-15 3.49237391e-16]
483,[ 9.17927286e-08 -1.50358385e-16],[-1.50358385e-16  2.93900630e-16]
484,[ 9.48428150e-08 -8.74646166e-16],[-8.74646166e-16  2.91580286e-16]
485,[8.90702642e-08 1.29953660e-15],[1.29953660e-15 2.86027117e-16]
486,[9.5581203e-08 2.3199885e-15],[2.31998850e-15 3.22886941e-16]
487,[9.59823047e-08 1.63146274e-15],[1.63146274e-15 2.96892353e-16]
488,[9.06445273e-08 1.97295465e-15],[1.97295465e-15 2.75911549e-16]
489,[9.42549483e-08 1.08151431e-15],[1.08151431e-15 3.11111951e-16]
490,[9.82275486e-08 1.27818260e-15],[1.27818260e-15 3.30297939e-16]
491,[9.44318022e-08 5.36597130e-16],[5.36597130e-16 3.00683667e-16]
492,[9.34132005e-08 2.18628534e-15],[2.18628534e-15 2.87202219e-16]
493,[ 9.69075324e-08 -7.24883327e-16],[-7.24883327e-16  2.95547083e-16]
494,[9.30812845e-08 3.19817289e-15],[3.19817289e-15 2.96610036e-16]
495,[8.99626859e-08 1.38761381e-15],[1.38761381e-15 2.81265037e-16]
496,[ 9.43314133e-08 -1.44166694e-15],[-1.44166694e-15  2.79374534e-16]
497,[1.00409846e-07 4.43180872e-15],[4.43180872e-15 3.16321228e-16]
498,[9.62041920e-08 2.07689102e-15],[2.07689102e-15 2.98974080e-16]
499,[ 9.68579959e-08 -6.70022064e-16],[-6.70022064e-16  2.92082906e-16]
500,[9.50618364e-08 1.12580928e-15],[1.12580928e-15 2.87059166e-16]
501,[9.45766028e-08 3.73129191e-16],[3.73129191e-16 2.88824085e-16]
502,[ 9.26519539e-08 -3.69274636e-16],[-3.69274636e-16  2.90339496e-16]
503,[ 9.08439453e-08 -9.94876795e-16],[-9.94876795e-16  2.60678867e-16]
504,[9.12147635e-08 1.34035813e-15],[1.34035813e-15 2.76853648e-16]
505,[9.23291739e-08 1.25250104e-15],[1.25250104e-15 2.65082321e-16]
506,[8.94948526e-08 2.82909332e-16],[2.82909332e-16 2.73847518e-16]
507,[9.77373925e-08 1.05248128e-15],[1.05248128e-15 2.94074410e-16]
508,[9.35046097e-08 1.15256881e-15],[1.15256881e-15 2.69361865e-16]
509,[1.00748798e-07 4.92561777e-15],[4.92561777e-15 3.06918843e-16]
510,[1.02159719e-07 3.22836174e-17],[3.22836174e-17 2.92427873e-16]
511,[1.00401282e-07 1.73887551e-15],[1.73887551e-15 2.83930533e-16]
512,[ 1.03795712e-07 -9.15600611e-17],[-9.15600611e-17  3.25327143e-16]
513,[ 1.00126832e-07 -5.75664541e-16],[-5.75664541e-16  2.87734007e-16]
514,[1.00303232e-07 2.77601168e-15],[2.77601168e-15 2.90962700e-16]
515,[1.01727807e-07 8.38064286e-17],[8.38064286e-17 2.93078003e-16]
516,[1.02545318e-07 7.24818886e-16],[7.24818886e-16 3.04435210e-16]
